time,x,y,z
14/06/2021 11:12:15,5.568695068359375,-36.867850167410715,-31.109619140625
14/06/2021 11:12:15,3.8186880258413463,-36.35817307692308,-32.45955247145433
14/06/2021 11:12:16,3.8729248046875,-32.8258056640625,-37.65765380859375
14/06/2021 11:12:16,3.5244140625,-30.58349609375,-40.887451171875
14/06/2021 11:12:17,3.1874974568684897,-31.377728780110676,-43.05070241292318
14/06/2021 11:12:17,3.00726318359375,-30.4022216796875,-41.51422119140625
14/06/2021 11:12:18,2.8277587890625,-30.21978759765625,-41.98101806640625
14/06/2021 11:12:18,2.5321044921875,-30.1627197265625,-41.7584228515625
14/06/2021 11:12:19,2.71160888671875,-30.18157958984375,-42.676025390625
14/06/2021 11:12:19,2.848876953125,-30.0848388671875,-42.850341796875
14/06/2021 11:12:20,2.8277587890625,-29.8634033203125,-42.850341796875
14/06/2021 11:12:20,2.9544677734375,-30.2769775390625,-41.50372314453125
14/06/2021 11:12:21,2.510986328125,-29.76806640625,-41.807861328125
14/06/2021 11:12:21,2.4898681640625,-29.68157958984375,-41.74481201171875
14/06/2021 11:12:22,2.662109375,-30.77880859375,-43.362060546875
14/06/2021 11:12:22,2.3811976114908853,-29.253705342610676,-41.15403493245443
14/06/2021 11:12:23,2.5321044921875,-29.08447265625,-41.51318359375
14/06/2021 11:12:23,2.4053955078125,-28.8056640625,-41.70330810546875
14/06/2021 11:12:24,2.426513671875,-28.85369873046875,-41.69158935546875
14/06/2021 11:12:24,2.46875,-29.06549072265625,-40.393310546875
14/06/2021 11:12:25,2.43707275390625,-29.06549072265625,-40.2366943359375
14/06/2021 11:12:25,2.2998046875,-28.9888916015625,-40.59759521484375
14/06/2021 11:12:26,2.304204305013021,-29.16380564371745,-40.423266092936196
14/06/2021 11:12:26,2.4053955078125,-29.20013427734375,-41.2728271484375
14/06/2021 11:12:27,2.4476318359375,-29.70074462890625,-40.5946044921875
14/06/2021 11:12:27,2.22589111328125,-29.24896240234375,-42.49102783203125
14/06/2021 11:12:28,2.2364501953125,-29.325927734375,-41.28131103515625
14/06/2021 11:12:28,2.09918212890625,-29.287841796875,-41.10906982421875
14/06/2021 11:12:29,2.31365966796875,-30.837646484375,-42.25860595703125
14/06/2021 11:12:29,2.216211954752604,-29.665311177571613,-40.62919616699219
14/06/2021 11:12:30,2.16253662109375,-29.53790283203125,-40.99566650390625
14/06/2021 11:12:30,2.1028371957632213,-29.587144118088943,-40.97689115084135
14/06/2021 11:12:31,2.1832148234049478,-29.44488525390625,-41.304524739583336
14/06/2021 11:12:31,1.97247314453125,-29.29766845703125,-42.30401611328125
14/06/2021 11:12:32,2.20477294921875,-29.73052978515625,-41.92822265625
14/06/2021 11:12:32,2.0292282104492188,-29.675992329915363,-42.2631581624349
14/06/2021 11:12:33,2.0919189453125,-31.0499267578125,-44.4083251953125
14/06/2021 11:12:33,1.996294657389323,-30.08734385172526,-41.820335388183594
14/06/2021 11:12:34,2.06756591796875,-30.42388916015625,-41.37060546875
14/06/2021 11:12:34,2.0182927449544272,-30.498377482096355,-41.220601399739586
14/06/2021 11:12:35,2.01470947265625,-30.3375244140625,-41.39434814453125
14/06/2021 11:12:35,2.04638671875,-29.8658447265625,-41.690185546875
14/06/2021 11:12:36,2.8025945027669272,-31.960487365722656,-40.932210286458336
14/06/2021 11:12:36,1.504834493001302,-30.25938669840495,-45.302836100260414
14/06/2021 11:12:37,0.5123138427734375,-28.647422790527344,-43.90188852945963
14/06/2021 11:12:37,-0.28564453125,-28.72662353515625,-44.43365478515625
14/06/2021 11:12:38,-0.16949462890625,-28.9571533203125,-43.36248779296875
14/06/2021 11:12:38,-0.28228759765625,-29.84356689453125,-45.7730712890625
14/06/2021 11:12:39,-0.26039455247961957,-28.942473038383152,-43.70011039402174
14/06/2021 11:12:39,-0.2222900390625,-28.69744873046875,-43.9617919921875
14/06/2021 11:12:40,-0.04278564453125,-28.81256103515625,-43.4454345703125
14/06/2021 11:12:40,0.05224609375,-28.81231689453125,-42.6796875
14/06/2021 11:12:41,-0.03228759765625,-28.7451171875,-42.624755859375
14/06/2021 11:12:41,-0.7080078125,-28.420066833496094,-42.65486399332682
14/06/2021 11:12:42,-0.7740020751953125,-28.259722391764324,-42.967542012532554
14/06/2021 11:12:42,-0.6868896484375,-28.1019287109375,-43.291748046875
14/06/2021 11:12:43,-0.7892315204326923,-28.188147911658653,-43.60345693734976
14/06/2021 11:12:43,-0.6605148315429688,-29.503122965494793,-45.616912841796875
14/06/2021 11:12:44,-0.7850011189778646,-28.500620524088543,-43.39313507080078
14/06/2021 11:12:44,-0.76080322265625,-28.7469482421875,-43.5408935546875
14/06/2021 11:12:45,-0.7080078125,-28.613633375901443,-43.59606229341947
14/06/2021 11:12:45,-0.8804957071940104,-30.045445760091145,-44.53099568684896
14/06/2021 11:12:46,-0.8474985758463541,-30.215962727864582,-44.981956481933594
14/06/2021 11:12:46,-0.9244918823242188,-30.05555470784505,-44.832420349121094
14/06/2021 11:12:47,-0.7080078125,-28.8719482421875,-43.02490234375
14/06/2021 11:12:47,-0.7300059000651041,-29.021835327148438,-43.02234649658203
14/06/2021 11:12:48,-0.86639404296875,-28.70880126953125,-43.849365234375
14/06/2021 11:12:48,-0.9820791391225961,-28.873560978816105,-44.398791973407455
14/06/2021 11:12:49,-0.8619944254557291,-29.232533772786457,-45.6793467203776
14/06/2021 11:12:49,-1.0014851888020833,-30.43683369954427,-46.490796407063804
14/06/2021 11:12:50,-0.876953125,-29.71002197265625,-43.96759033203125
