ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.387253,0.040665,9.718246,9.2E-5,1.98E-4,2.14E-4,1.6663,-28.8849,-41.6565,26.881237,88.80416,101.9757,NaN,0.0,3.216,,16 / 28,16516,2021-06-14 11:12:28:558
-0.372894,0.026306,9.723038,-2.59E-4,7.32E-4,4.88E-4,2.1942,-29.8462,-40.3915,26.881237,88.80416,101.9757,NaN,0.0,3.216,,16 / 28,17015,2021-06-14 11:12:29:057
-0.392044,0.021515,9.679932,1.5E-5,1.98E-4,6.56E-4,1.9302,-30.0873,-40.9042,26.881237,88.80416,101.9757,NaN,0.0,3.216,,16 / 28,17516,2021-06-14 11:12:29:558
-0.382462,0.007156,9.703873,-6.1E-4,-1.68E-4,-1.37E-4,2.4582,-29.8447,-43.8904,26.881237,88.80416,101.9757,NaN,0.0,3.216,,16 / 28,18015,2021-06-14 11:12:30:057
-0.35852,0.021515,9.699097,9.2E-5,4.58E-4,-4.6E-5,1.9302,-29.8462,-39.4257,26.881237,88.80416,101.9757,NaN,0.0,3.216,,16 / 28,18516,2021-06-14 11:12:30:558
-0.368103,0.002365,9.703873,2.75E-4,1.07E-4,5.65E-4,1.6663,-29.6066,-41.0294,26.881237,88.80416,101.9757,NaN,0.0,3.216,,16 / 28,19015,2021-06-14 11:12:31:057
-0.29628,0.002365,9.665573,9.2E-5,-6.87E-4,0.00119,2.1942,-28.8834,-42.5781,26.881237,88.80416,101.9757,NaN,0.0,3.216,,16 / 28,19515,2021-06-14 11:12:31:557
-0.344162,-0.002426,9.718246,7.17E-4,-4.27E-4,-6.71E-4,2.1942,-30.809,-40.7379,26.881237,88.80416,101.9757,NaN,0.0,3.216,,16 / 28,20015,2021-06-14 11:12:32:057
-0.37767,-0.002426,9.689514,2.75E-4,1.07E-4,-4.12E-4,1.9302,-29.6066,-41.9968,26.881237,88.80416,101.9757,NaN,0.0,3.216,,16 / 28,20515,2021-06-14 11:12:32:557
-0.37767,0.011932,9.699097,-2.59E-4,-7.02E-4,2.14E-4,1.6663,-29.3655,-43.602,26.881237,88.80416,101.9757,NaN,0.0,3.216,,16 / 28,21015,2021-06-14 11:12:33:057
-0.368103,0.007156,9.694305,4.58E-4,-7.6E-5,2.14E-4,1.1398,-30.571,-41.9739,26.881237,88.80416,101.9757,NaN,0.0,3.216,,16 / 28,21516,2021-06-14 11:12:33:558
-0.382462,0.011932,9.723038,1.83E-4,2.75E-4,3.97E-4,2.1942,-30.0873,-43.3899,26.881237,88.80416,101.9757,NaN,0.0,3.216,,16 / 28,22016,2021-06-14 11:12:34:058
-0.372894,0.016724,9.713455,5.49E-4,-5.19E-4,-4.12E-4,1.9302,-31.0501,-41.2491,26.881237,88.80416,101.9757,NaN,0.0,3.216,,16 / 28,22515,2021-06-14 11:12:34:557
-0.392044,-0.0168,9.708664,-7.93E-4,-1.68E-4,4.88E-4,2.4582,-30.8075,-45.2484,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,23016,2021-06-14 11:12:35:058
-0.37767,0.002365,9.699097,-3.51E-4,1.98E-4,-5.04E-4,1.9302,-29.3655,-42.0364,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,23515,2021-06-14 11:12:35:557
-0.372894,-0.0168,9.694305,-1.68E-4,-5.19E-4,-3.2E-4,2.7222,-30.5664,-39.1663,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,24015,2021-06-14 11:12:36:057
-0.37767,-0.002426,9.694305,-7.93E-4,1.98E-4,3.05E-4,1.4023,-28.1631,-43.8492,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,24515,2021-06-14 11:12:36:557
-0.607513,-0.217911,9.464462,-0.008514,0.004807,0.194366,0.0839,-28.1677,-43.5715,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,25015,2021-06-14 11:12:37:057
-1.095932,-0.361557,10.953659,0.0,-0.001495,0.002609,-0.1801,-29.6112,-44.3893,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,25516,2021-06-14 11:12:37:558
-0.530899,-0.141296,9.761337,-6.1E-4,0.004272,0.00119,0.0839,-28.4073,-43.0252,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,26015,2021-06-14 11:12:38:057
-0.885254,-0.031158,10.005554,6.26E-4,-0.00354,-0.002808,-1.236,-28.8925,-44.693,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,26515,2021-06-14 11:12:38:557
-0.301056,0.021515,9.694305,-2.59E-4,-6.87E-4,7.48E-4,0.0839,-27.9266,-46.1426,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,27015,2021-06-14 11:12:39:057
-0.277115,-0.0168,9.670364,-0.001419,5.49E-4,0.001373,-0.708,-28.891,-44.6014,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,27516,2021-06-14 11:12:39:558
-0.372894,0.007156,9.727814,-2.59E-4,1.5E-5,0.001099,0.6119,-28.4058,-48.5031,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,28016,2021-06-14 11:12:40:058
-0.344162,-0.0168,9.699097,-3.51E-4,1.5E-5,1.22E-4,0.6119,-29.3686,-42.7734,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,28515,2021-06-14 11:12:40:557
-0.368103,0.011932,9.723038,5.34E-4,-7.02E-4,-8.54E-4,-0.1801,-28.4088,-44.0842,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,29015,2021-06-14 11:12:41:057
-0.420776,-0.088623,9.694305,-6.1E-4,9.92E-4,3.1E-5,-0.444,-28.1692,-44.1696,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,29516,2021-06-14 11:12:41:558
-0.344162,-0.0168,9.732605,-0.001419,-7.6E-5,0.001282,-0.708,-28.1692,-43.2037,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,30016,2021-06-14 11:12:42:058
-0.415985,-0.012009,9.737396,1.07E-4,-2.44E-4,-0.001389,0.0839,-27.6855,-44.1589,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,30515,2021-06-14 11:12:42:557
-0.339371,0.002365,9.675156,5.34E-4,1.07E-4,0.001022,-0.444,-27.9282,-43.1976,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,31016,2021-06-14 11:12:43:058
-0.415985,0.016724,9.713455,-7.6E-5,-1.68E-4,-3.2E-4,-0.708,-28.6514,-43.1229,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,31515,2021-06-14 11:12:43:557
-0.37767,-0.012009,9.603317,-0.001053,0.001175,-4.12E-4,-0.708,-27.4475,-43.3228,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,32015,2021-06-14 11:12:44:057
-0.286697,0.035873,9.723038,1.83E-4,-0.001312,5.65E-4,-0.708,-29.1321,-42.5354,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,32515,2021-06-14 11:12:44:557
-0.325012,-0.007217,9.660782,9.2E-5,1.07E-4,-0.001205,-0.708,-27.9282,-45.2682,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,33015,2021-06-14 11:12:45:057
-0.425568,0.011932,9.756546,-7.93E-4,2.9E-4,0.00119,-0.1801,-28.6499,-43.5379,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,33516,2021-06-14 11:12:45:558
-0.430344,0.002365,9.746979,9.2E-5,-5.19E-4,-5.04E-4,-0.708,-28.6514,-42.1097,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,34015,2021-06-14 11:12:46:057
-0.382462,-0.012009,9.713455,-6.1E-4,-7.6E-5,-9.46E-4,-0.708,-28.1692,-42.6971,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,34516,2021-06-14 11:12:46:558
-0.363312,-0.021576,9.713455,-0.001144,-6.1E-4,-1.37E-4,-0.444,-28.891,-46.5805,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,35016,2021-06-14 11:12:47:058
-0.35852,0.026306,9.723038,6.1E-5,-1.83E-4,-0.002609,-0.972,-28.8925,-43.634,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,35515,2021-06-14 11:12:47:557
-0.363312,-0.012009,9.708664,5.04E-4,5.34E-4,7.63E-4,-0.708,-29.1321,-42.5354,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,36015,2021-06-14 11:12:48:057
-0.392044,0.031097,9.684723,-4.73E-4,-9.2E-5,8.54E-4,-1.4999,-29.3747,-42.6331,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,36516,2021-06-14 11:12:48:558
-0.35852,0.002365,9.703873,0.001022,6.26E-4,-0.001114,-0.972,-29.3732,-44.0613,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,37016,2021-06-14 11:12:49:058
-0.406403,-0.002426,9.732605,3.2E-4,-2.75E-4,-9.31E-4,-0.972,-28.6514,-44.6869,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,37515,2021-06-14 11:12:49:557
-0.420776,-0.021576,9.737396,6.71E-4,-9.2E-5,-4.6E-5,-0.708,-29.8538,-43.428,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,38015,2021-06-14 11:12:50:057
-0.368103,0.055038,9.727814,-2.14E-4,6.26E-4,-4.6E-5,-0.444,-29.6127,-45.4468,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,38515,2021-06-14 11:12:50:557
-0.37767,-0.007217,9.75177,-5.65E-4,1.83E-4,8.54E-4,-0.972,-28.6514,-45.7001,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,39016,2021-06-14 11:12:51:058
-0.35852,-0.064682,9.703873,6.71E-4,-0.001251,-0.003235,-1.236,-29.3747,-45.6253,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,39516,2021-06-14 11:12:51:558
-0.344162,-0.031158,9.694305,4.6E-5,7.93E-4,0.001465,-0.708,-28.891,-43.0832,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,40016,2021-06-14 11:12:52:058
-0.401627,-0.0168,9.699097,-8.39E-4,2.75E-4,7.63E-4,-0.972,-28.6514,-45.1935,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,40516,2021-06-14 11:12:52:558
-0.415985,0.026306,9.723038,6.71E-4,4.43E-4,0.00148,-1.236,-29.3747,-45.1187,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,41015,2021-06-14 11:12:53:057
-0.372894,-0.031158,9.699097,-3.1E-5,-7.02E-4,-0.003326,-1.4999,-28.653,-45.285,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,41516,2021-06-14 11:12:53:558
-0.363312,0.007156,9.694305,3.2E-4,0.0,-4.88E-4,-0.972,-29.3732,-42.5415,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,42015,2021-06-14 11:12:54:057
-0.396835,0.040665,9.727814,5.8E-4,9.2E-5,-0.001099,-1.236,-28.1708,-45.3201,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,42516,2021-06-14 11:12:54:558
-0.348953,0.011932,9.718246,0.001556,2.59E-4,0.001389,-0.444,-29.3716,-44.9814,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,43015,2021-06-14 11:12:55:057
-0.444717,0.016724,9.708664,-5.65E-4,9.2E-5,-0.002258,-0.1801,-29.1306,-43.457,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,43515,2021-06-14 11:12:55:557
-0.439926,-0.002426,9.746979,1.37E-4,6.1E-4,1.37E-4,-0.444,-29.1306,-43.5028,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 27,44015,2021-06-14 11:12:56:057
-0.382462,0.045456,9.732605,-3.1E-5,-8.09E-4,3.2E-4,-1.4999,-28.1708,-44.8593,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 27,44516,2021-06-14 11:12:56:558
-0.372894,-0.0168,9.694305,6.1E-5,-2.75E-4,5.8E-4,-0.444,-28.6499,-44.0887,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,45016,2021-06-14 11:12:57:058
-0.435135,0.021515,9.737396,0.001022,-7.17E-4,-0.00235,-0.972,-28.8925,-44.6472,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,45515,2021-06-14 11:12:57:557
-0.277115,0.011932,9.665573,-1.22E-4,-9.2E-5,-0.005005,-1.236,-28.8925,-45.1996,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,46016,2021-06-14 11:12:58:058
-0.425568,-0.021576,9.699097,8.54E-4,-3.66E-4,3.2E-4,-0.708,-28.6514,-44.1345,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,46516,2021-06-14 11:12:58:558
-0.53569,-0.021576,9.766129,-3.05E-4,-5.34E-4,0.00209,-0.1801,-27.9266,-46.1884,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 27,47015,2021-06-14 11:12:59:057
-0.248398,0.093338,9.699097,-6.56E-4,0.001953,0.002441,-0.708,-28.1692,-46.2402,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 27,47515,2021-06-14 11:12:59:557
-0.272339,0.026306,9.718246,-3.1E-5,-7.17E-4,4.12E-4,-0.972,-28.1708,-45.2744,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,48016,2021-06-14 11:13:00:058
-0.344162,0.011932,9.732605,5.95E-4,0.001862,8.54E-4,-0.972,-28.6514,-46.7133,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,48516,2021-06-14 11:13:00:558
-0.420776,-0.0168,9.737396,0.002182,-8.09E-4,-0.001556,-0.444,-27.6871,-45.2621,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,49016,2021-06-14 11:13:01:058
-0.344162,-0.031158,9.689514,0.001022,-8.85E-4,-8.39E-4,-0.1801,-28.8895,-45.0165,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,49515,2021-06-14 11:13:01:557
-0.372894,0.055038,9.723038,-7.48E-4,-4.43E-4,4.6E-5,-0.444,-28.891,-46.0739,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,50016,2021-06-14 11:13:02:058
-0.37767,0.002365,9.718246,-2.14E-4,-7.17E-4,-0.003418,-0.708,-29.1321,-46.5866,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,50516,2021-06-14 11:13:02:558
-0.37767,-0.012009,9.679932,-3.97E-4,6.26E-4,0.00174,-0.708,-28.1692,-45.7352,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,51015,2021-06-14 11:13:03:057
-0.478241,-0.040741,9.746979,-6.56E-4,-0.00177,0.002441,-1.236,-28.1708,-45.3201,26.881237,88.80416,101.9757,NaN,0.0,3.216,,12 / 28,51515,2021-06-14 11:13:03:557
-0.305847,0.059814,9.684723,3.2E-4,3.51E-4,0.001114,-1.236,-28.4119,-46.2921,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 27,52016,2021-06-14 11:13:04:058
-0.425568,-0.055099,9.766129,7.63E-4,7.02E-4,-0.001465,-0.708,-28.891,-44.6014,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 27,52516,2021-06-14 11:13:04:558
-0.439926,-0.012009,9.77092,6.71E-4,-0.001343,-0.004211,-0.444,-29.1306,-47.5525,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,53016,2021-06-14 11:13:05:058
-0.435135,-0.012009,9.737396,-5.65E-4,-7.17E-4,-4.6E-5,-0.708,-29.1321,-47.5983,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,53516,2021-06-14 11:13:05:558
-0.339371,0.021515,9.699097,-4.73E-4,-4.43E-4,0.001205,-0.972,-29.8553,-44.9936,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,54015,2021-06-14 11:13:06:057
-0.363312,-0.079041,9.622482,3.2E-4,-9.77E-4,-0.004303,-1.236,-28.8925,-47.2244,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,54516,2021-06-14 11:13:06:558
-0.344162,0.102921,9.746979,0.001114,-7.17E-4,-0.004745,-0.972,-30.336,-44.9127,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,55015,2021-06-14 11:13:07:057
-0.392044,0.040665,9.785278,0.001038,-5.34E-4,-0.001724,-0.708,-28.891,-48.1461,26.881237,88.80416,101.9757,NaN,0.0,3.216,,13 / 28,55516,2021-06-14 11:13:07:558
-0.430344,-0.026367,9.746979,5.04E-4,-7.93E-4,-0.001541,-1.236,-29.6143,-45.079,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,56015,2021-06-14 11:13:08:057
-0.348953,-0.03595,9.742188,7.63E-4,0.001236,6.71E-4,-1.236,-28.6514,-47.7707,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,56516,2021-06-14 11:13:08:558
-0.339371,0.026306,9.699097,6.71E-4,-7.17E-4,-0.001556,-0.972,-29.3732,-45.0729,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,57015,2021-06-14 11:13:09:057
-0.35852,0.007156,9.713455,-3.81E-4,5.34E-4,0.001205,-0.444,-28.4088,-45.1416,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,57515,2021-06-14 11:13:09:557
-0.454285,-0.045517,9.713455,-3.1E-5,8.85E-4,-0.001556,-1.4999,-28.4119,-43.8065,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,58016,2021-06-14 11:13:10:058
-0.415985,0.016724,9.703873,1.37E-4,9.2E-5,-5.8E-4,-1.4999,-29.1336,-45.2057,26.881237,88.80416,101.9757,NaN,0.0,3.216,,14 / 28,58515,2021-06-14 11:13:10:557
-0.406403,0.002365,9.708664,9.46E-4,9.2E-5,-3.97E-4,-0.708,-27.6886,-45.3079,26.881237,88.80416,101.9757,NaN,0.0,3.216,,15 / 28,59016,2021-06-14 11:13:11:058
-0.396835,-0.007217,9.746979,-0.001282,-1.83E-4,2.29E-4,-0.444,-29.3716,-45.488,26.881237,88.80416,101.9757,NaN,0.0,3.216,,15 / 28,59516,2021-06-14 11:13:11:558
-0.37767,-0.002426,9.718246,3.2E-4,-1.83E-4,-3.05E-4,-0.444,-28.6499,-45.1019,26.881237,88.80416,101.9757,NaN,0.0,3.216,,15 / 28,60015,2021-06-14 11:13:12:057
-0.415985,0.011932,9.723038,-9.16E-4,-2.75E-4,0.002441,-0.708,-29.6127,-44.4809,26.881237,88.80416,101.9757,NaN,0.0,3.216,,15 / 28,60517,2021-06-14 11:13:12:559
-0.396835,0.031097,9.732605,6.71E-4,9.77E-4,0.002716,-0.708,-29.6127,-45.9991,26.881237,88.80416,101.9757,NaN,0.0,3.216,,15 / 28,61016,2021-06-14 11:13:13:058
-0.387253,0.007156,9.732605,-3.97E-4,-5.34E-4,-3.97E-4,-1.236,-29.1336,-44.6533,26.881237,88.80416,101.9757,NaN,0.0,3.216,,15 / 28,61516,2021-06-14 11:13:13:558
-0.425568,0.016724,9.737396,-1.22E-4,1.68E-4,-0.001984,-0.708,-28.891,-43.0832,26.881237,88.80416,101.9757,NaN,0.0,3.216,,15 / 28,62016,2021-06-14 11:13:14:058
