time,lat,long
14/06/2021 12:00:39,26.8811952,88.8045031
14/06/2021 12:00:39,26.8811952,88.8045031
14/06/2021 12:00:40,26.8811952,88.8045031
14/06/2021 12:00:40,26.881174,88.8042133
14/06/2021 12:00:41,26.881174,88.8042133
14/06/2021 12:00:41,26.8811654,88.8041585
14/06/2021 12:00:42,26.8811654,88.8041585
14/06/2021 12:00:42,26.8811606,88.8041514
14/06/2021 12:00:43,26.8811606,88.8041514
14/06/2021 12:00:43,26.8811677,88.804157
14/06/2021 12:00:44,26.8811677,88.804157
14/06/2021 12:00:44,26.8811726,88.8041663
14/06/2021 12:00:45,26.8811726,88.8041663
14/06/2021 12:00:45,26.8811764,88.8041679
14/06/2021 12:00:46,26.8811764,88.8041679
14/06/2021 12:00:46,26.8811787,88.8041682
14/06/2021 12:00:47,26.881182,88.8041682
14/06/2021 12:00:47,26.8811834,88.804168
14/06/2021 12:00:48,26.8811834,88.804168
14/06/2021 12:00:48,26.8811853,88.8041677
14/06/2021 12:00:49,26.8811853,88.8041677
14/06/2021 12:00:49,26.8811837,88.8041686
14/06/2021 12:00:50,26.8811828,88.8041689
14/06/2021 12:00:50,26.8811811,88.8041692
14/06/2021 12:00:51,26.8811811,88.8041692
14/06/2021 12:00:51,26.8811802,88.8041693
14/06/2021 12:00:52,26.8811802,88.8041693
14/06/2021 12:00:52,26.8811786,88.8041693
14/06/2021 12:00:53,26.8811786,88.8041693
14/06/2021 12:00:53,26.8811729,88.8041687
14/06/2021 12:00:54,26.8811729,88.8041687
14/06/2021 12:00:54,26.8811687,88.8041685
14/06/2021 12:00:55,26.8811675,88.8041687
14/06/2021 12:00:55,26.8811661,88.8041693
14/06/2021 12:00:56,26.881165,88.8041696
14/06/2021 12:00:56,26.881164,88.80417
14/06/2021 12:00:57,26.881164,88.80417
14/06/2021 12:00:57,26.8811631,88.8041701
14/06/2021 12:00:58,26.8811622,88.8041701
14/06/2021 12:00:58,26.8811614,88.8041698
14/06/2021 12:00:59,26.8811605,88.8041695
14/06/2021 12:00:59,26.8811599,88.8041694
14/06/2021 12:01:00,26.8811599,88.8041694
14/06/2021 12:01:00,26.8811588,88.8041692
14/06/2021 12:01:01,26.8811588,88.8041692
14/06/2021 12:01:01,26.8811585,88.8041693
14/06/2021 12:01:02,26.8811585,88.8041693
14/06/2021 12:01:02,26.8811583,88.8041697
14/06/2021 12:01:03,26.8811583,88.8041697
14/06/2021 12:01:03,26.8811582,88.8041698
14/06/2021 12:01:04,26.8811582,88.8041698
14/06/2021 12:01:04,26.8811593,88.8041679
14/06/2021 12:01:05,26.8811593,88.8041679
14/06/2021 12:01:05,26.88116,88.8041666
14/06/2021 12:01:06,26.8811615,88.8041642
14/06/2021 12:01:06,26.8811623,88.8041628
14/06/2021 12:01:07,26.8811623,88.8041628
14/06/2021 12:01:07,26.8811637,88.8041604
14/06/2021 12:01:08,26.8811637,88.8041604
14/06/2021 12:01:08,26.8811674,88.8041558
14/06/2021 12:01:09,26.8811674,88.8041558
14/06/2021 12:01:09,26.8811694,88.8041532
14/06/2021 12:01:10,26.8811694,88.8041532
14/06/2021 12:01:10,26.8811707,88.8041513
14/06/2021 12:01:11,26.8811728,88.8041493
14/06/2021 12:01:11,26.8811746,88.8041475
14/06/2021 12:01:12,26.8811746,88.8041475
14/06/2021 12:01:12,26.8811846,88.8041382
14/06/2021 12:01:13,26.8811846,88.8041382
14/06/2021 12:01:13,26.8811963,88.8041312
14/06/2021 12:01:14,26.8811963,88.8041312
14/06/2021 12:01:14,26.8812035,88.804131
14/06/2021 12:01:15,26.8812083,88.8041284
14/06/2021 12:01:15,26.8812107,88.8041282
14/06/2021 12:01:16,26.8812107,88.8041282
14/06/2021 12:01:16,26.8812166,88.8041274
14/06/2021 12:01:17,26.8812166,88.8041274
14/06/2021 12:01:17,26.8812202,88.8041281
14/06/2021 12:01:18,26.8812202,88.8041281
14/06/2021 12:01:18,26.881224,88.8041281
14/06/2021 12:01:19,26.8812279,88.8041277
14/06/2021 12:01:19,26.8812292,88.8041285
14/06/2021 12:01:20,26.8812315,88.8041278
14/06/2021 12:01:20,26.8812324,88.8041278
14/06/2021 12:01:21,26.8812324,88.8041278
14/06/2021 12:01:21,26.8812347,88.8041257
14/06/2021 12:01:22,26.8812347,88.8041257
14/06/2021 12:01:22,26.8812352,88.8041245
14/06/2021 12:01:23,26.8812352,88.8041245
14/06/2021 12:01:23,26.8812355,88.8041229
14/06/2021 12:01:24,26.8812355,88.8041229
14/06/2021 12:01:24,26.8812364,88.8041202
14/06/2021 12:01:25,26.8812364,88.8041202
14/06/2021 12:01:25,26.8812369,88.8041182
14/06/2021 12:01:26,26.8812369,88.8041182
14/06/2021 12:01:26,26.8812377,88.8041154
14/06/2021 12:01:27,26.8812386,88.8041129
14/06/2021 12:01:27,26.8812389,88.804111
14/06/2021 12:01:28,26.8812389,88.804111
14/06/2021 12:01:28,26.88124,88.8041089
14/06/2021 12:01:29,26.88124,88.8041089
14/06/2021 12:01:29,26.881241,88.8041072
14/06/2021 12:01:30,26.8812417,88.8041065
14/06/2021 12:01:30,26.8812414,88.8041062
14/06/2021 12:01:31,26.8812414,88.8041062
14/06/2021 12:01:31,26.8812417,88.8041058
14/06/2021 12:01:32,26.8812417,88.8041058
14/06/2021 12:01:32,26.8812422,88.8041056
14/06/2021 12:01:33,26.8812422,88.8041056
14/06/2021 12:01:33,26.8812425,88.8041055
14/06/2021 12:01:34,26.8812425,88.8041055
14/06/2021 12:01:34,26.8812422,88.8041055
14/06/2021 12:01:35,26.8812422,88.8041055
14/06/2021 12:01:35,26.8812417,88.8041053
14/06/2021 12:01:36,26.8812417,88.8041053
14/06/2021 12:01:36,26.8812414,88.8041051
14/06/2021 12:01:37,26.8812414,88.8041051
14/06/2021 12:01:37,26.8812411,88.8041044
14/06/2021 12:01:38,26.8812411,88.8041044
14/06/2021 12:01:38,26.8812419,88.8041025
14/06/2021 12:01:39,26.8812419,88.8041025
14/06/2021 12:01:39,26.8812434,88.8041001
14/06/2021 12:01:40,26.8812434,88.8041001
14/06/2021 12:01:40,26.8812448,88.8040978
14/06/2021 12:01:41,26.8812447,88.8040964
14/06/2021 12:01:41,26.8812444,88.8040945
14/06/2021 12:01:42,26.8812441,88.8040925
14/06/2021 12:01:42,26.8812442,88.80409
14/06/2021 12:01:43,26.8812442,88.80409
14/06/2021 12:01:43,26.8812461,88.8040861
14/06/2021 12:01:44,26.8812461,88.8040861
14/06/2021 12:01:44,26.8812485,88.8040849
14/06/2021 12:01:45,26.8812513,88.804085
14/06/2021 12:01:45,26.8812532,88.8040863
14/06/2021 12:01:46,26.8812532,88.8040863
14/06/2021 12:01:46,26.8812556,88.8040915
14/06/2021 12:01:47,26.8812556,88.8040915
14/06/2021 12:01:47,26.8812543,88.8040957
14/06/2021 12:01:48,26.8812543,88.8040957
14/06/2021 12:01:48,26.8812528,88.8041008
14/06/2021 12:01:49,26.8812528,88.8041008
14/06/2021 12:01:49,26.8812507,88.8041067
14/06/2021 12:01:50,26.8812507,88.8041067
14/06/2021 12:01:50,26.8812508,88.804111
14/06/2021 12:01:51,26.8812508,88.804111
14/06/2021 12:01:51,26.8812528,88.8041131
14/06/2021 12:01:52,26.8812528,88.8041131
14/06/2021 12:01:52,26.881255,88.8041135
14/06/2021 12:01:53,26.881255,88.8041135
14/06/2021 12:01:53,26.8812584,88.8041135
14/06/2021 12:01:54,26.8812584,88.8041135
14/06/2021 12:01:54,26.8812639,88.8041123
14/06/2021 12:01:55,26.8812639,88.8041123
14/06/2021 12:01:55,26.8812661,88.8041116
14/06/2021 12:01:56,26.8812661,88.8041116
14/06/2021 12:01:56,26.8812682,88.8041103
14/06/2021 12:01:57,26.8812698,88.8041082
14/06/2021 12:01:57,26.8812705,88.8041062
14/06/2021 12:01:58,26.8812705,88.8041062
14/06/2021 12:01:58,26.8812703,88.8041031
14/06/2021 12:01:59,26.8812703,88.8041031
14/06/2021 12:01:59,26.8812679,88.8040992
14/06/2021 12:02:00,26.881266,88.8040973
14/06/2021 12:02:00,26.8812632,88.8040954
14/06/2021 12:02:01,26.8812613,88.8040946
14/06/2021 12:02:01,26.8812587,88.8040938
14/06/2021 12:02:02,26.8812552,88.8040936
14/06/2021 12:02:02,26.8812524,88.8040937
14/06/2021 12:02:03,26.8812524,88.8040937
14/06/2021 12:02:03,26.881249,88.804093
14/06/2021 12:02:04,26.8812483,88.8040923
14/06/2021 12:02:04,26.8812476,88.8040906
14/06/2021 12:02:05,26.8812476,88.8040906
14/06/2021 12:02:05,26.8812485,88.8040874
14/06/2021 12:02:06,26.8812485,88.8040874
14/06/2021 12:02:06,26.8812506,88.8040878
14/06/2021 12:02:07,26.8812506,88.8040878
14/06/2021 12:02:07,26.8812537,88.8040917
14/06/2021 12:02:08,26.881253,88.8040941
14/06/2021 12:02:08,26.881252,88.8040971
14/06/2021 12:02:09,26.881252,88.8040971
14/06/2021 12:02:09,26.8812497,88.8041032
14/06/2021 12:02:10,26.8812491,88.8041065
14/06/2021 12:02:10,26.8812501,88.8041085
14/06/2021 12:02:11,26.8812501,88.8041085
14/06/2021 12:02:11,26.8812514,88.8041095
14/06/2021 12:02:12,26.8812514,88.8041095
14/06/2021 12:02:12,26.881254,88.8041108
14/06/2021 12:02:13,26.8812535,88.8041111
14/06/2021 12:02:13,26.8812522,88.8041107
14/06/2021 12:02:14,26.8812522,88.8041107
14/06/2021 12:02:14,26.8812508,88.8041095
14/06/2021 12:02:15,26.8812508,88.8041095
14/06/2021 12:02:15,26.8812502,88.8041074
14/06/2021 12:02:16,26.8812502,88.8041074
14/06/2021 12:02:16,26.8812492,88.8041072
14/06/2021 12:02:17,26.8812492,88.8041072
14/06/2021 12:02:17,26.8812466,88.8041078
14/06/2021 12:02:18,26.8812466,88.8041078
14/06/2021 12:02:18,26.8812432,88.80411
14/06/2021 12:02:19,26.8812405,88.8041119
14/06/2021 12:02:19,26.8812368,88.8041153
14/06/2021 12:02:20,26.8812368,88.8041153
14/06/2021 12:02:20,26.881234,88.8041193
14/06/2021 12:02:21,26.8812329,88.8041215
14/06/2021 12:02:21,26.8812329,88.8041215
14/06/2021 12:02:22,26.8812329,88.8041215
14/06/2021 12:02:22,26.8812331,88.8041231
14/06/2021 12:02:23,26.8812331,88.8041231
14/06/2021 12:02:23,26.8812338,88.8041243
14/06/2021 12:02:24,26.8812338,88.8041243
14/06/2021 12:02:24,26.8812334,88.8041256
14/06/2021 12:02:25,26.8812334,88.8041256
14/06/2021 12:02:25,26.8812329,88.8041267
14/06/2021 12:02:26,26.8812325,88.8041276
14/06/2021 12:02:26,26.8812328,88.8041284
14/06/2021 12:02:27,26.8812325,88.8041289
14/06/2021 12:02:27,26.8812329,88.8041295
14/06/2021 12:02:28,26.8812329,88.8041295
14/06/2021 12:02:28,26.8812323,88.8041304
14/06/2021 12:02:29,26.8812323,88.8041304
14/06/2021 12:02:29,26.8812324,88.8041308
14/06/2021 12:02:30,26.8812329,88.8041307
14/06/2021 12:02:30,26.8812338,88.8041306
14/06/2021 12:02:31,26.8812338,88.8041306
14/06/2021 12:02:31,26.8812352,88.8041291
14/06/2021 12:02:32,26.8812339,88.8041266
14/06/2021 12:02:32,26.8812315,88.8041247
14/06/2021 12:02:33,26.8812315,88.8041247
14/06/2021 12:02:33,26.8812293,88.8041222
14/06/2021 12:02:34,26.8812279,88.8041201
14/06/2021 12:02:34,26.8812273,88.804118
14/06/2021 12:02:35,26.8812272,88.8041167
14/06/2021 12:02:35,26.8812274,88.8041152
14/06/2021 12:02:36,26.8812274,88.8041152
14/06/2021 12:02:36,26.881227,88.8041136
14/06/2021 12:02:37,26.881227,88.8041136
14/06/2021 12:02:37,26.8812265,88.8041118
14/06/2021 12:02:38,26.8812265,88.8041118
14/06/2021 12:02:38,26.881226,88.8041104
14/06/2021 12:02:39,26.881226,88.8041104
14/06/2021 12:02:39,26.8812244,88.8041091
14/06/2021 12:02:40,26.8812244,88.8041091
14/06/2021 12:02:40,26.8812241,88.8041088
14/06/2021 12:02:41,26.8812241,88.8041088
14/06/2021 12:02:41,26.881224,88.8041088
14/06/2021 12:02:42,26.881224,88.8041088
14/06/2021 12:02:42,26.8812243,88.8041091
14/06/2021 12:02:43,26.8812243,88.8041091
14/06/2021 12:02:43,26.881224,88.8041101
14/06/2021 12:02:44,26.8812235,88.8041116
14/06/2021 12:02:44,26.8812225,88.8041137
14/06/2021 12:02:45,26.8812221,88.8041153
14/06/2021 12:02:45,26.8812221,88.8041168
14/06/2021 12:02:46,26.8812221,88.8041168
14/06/2021 12:02:46,26.8812221,88.8041194
14/06/2021 12:02:47,26.8812221,88.8041194
14/06/2021 12:02:47,26.8812224,88.8041213
14/06/2021 12:02:48,26.8812227,88.8041224
14/06/2021 12:02:48,26.8812235,88.8041228
14/06/2021 12:02:49,26.881224,88.8041225
14/06/2021 12:02:49,26.881225,88.8041216
14/06/2021 12:02:50,26.881225,88.8041216
14/06/2021 12:02:50,26.8812259,88.804119
14/06/2021 12:02:51,26.8812259,88.804119
14/06/2021 12:02:51,26.8812263,88.8041177
14/06/2021 12:02:52,26.881227,88.8041153
14/06/2021 12:02:52,26.8812277,88.8041137
14/06/2021 12:02:53,26.8812277,88.8041137
14/06/2021 12:02:53,26.8812292,88.8041102
14/06/2021 12:02:54,26.8812292,88.8041102
14/06/2021 12:02:54,26.8812313,88.804105
14/06/2021 12:02:55,26.881232,88.8041033
14/06/2021 12:02:55,26.881232,88.8041033
14/06/2021 12:02:56,26.8812329,88.8041006
14/06/2021 12:02:56,26.8812332,88.8040983
14/06/2021 12:02:57,26.881233,88.804097
14/06/2021 12:02:57,26.8812326,88.8040946
14/06/2021 12:02:58,26.8812326,88.8040946
14/06/2021 12:02:58,26.8812297,88.8040931
14/06/2021 12:02:59,26.8812278,88.8040937
14/06/2021 12:02:59,26.8812247,88.8040954
14/06/2021 12:03:00,26.8812247,88.8040954
14/06/2021 12:03:00,26.8812216,88.8040984
14/06/2021 12:03:01,26.8812204,88.8041007
14/06/2021 12:03:01,26.8812193,88.8041039
14/06/2021 12:03:02,26.8812193,88.8041039
14/06/2021 12:03:02,26.8812176,88.8041098
14/06/2021 12:03:03,26.8812162,88.8041145
14/06/2021 12:03:03,26.8812152,88.8041178
14/06/2021 12:03:04,26.8812141,88.8041214
14/06/2021 12:03:04,26.8812132,88.8041245
14/06/2021 12:03:05,26.8812115,88.8041289
14/06/2021 12:03:05,26.8812101,88.8041314
14/06/2021 12:03:06,26.8812083,88.8041338
14/06/2021 12:03:06,26.8812083,88.8041338
14/06/2021 12:03:07,26.881206,88.8041359
14/06/2021 12:03:07,26.8812042,88.8041357
14/06/2021 12:03:08,26.8812042,88.8041357
14/06/2021 12:03:08,26.8812017,88.804133
14/06/2021 12:03:09,26.8812,88.8041295
14/06/2021 12:03:09,26.8811982,88.8041264
14/06/2021 12:03:10,26.8811982,88.8041264
14/06/2021 12:03:10,26.8811943,88.8041221
14/06/2021 12:03:11,26.8811943,88.8041221
14/06/2021 12:03:11,26.8811918,88.8041207
14/06/2021 12:03:12,26.8811918,88.8041207
14/06/2021 12:03:12,26.8811877,88.8041191
14/06/2021 12:03:13,26.8811852,88.8041185
14/06/2021 12:03:13,26.8811825,88.8041184
14/06/2021 12:03:14,26.8811825,88.8041184
14/06/2021 12:03:14,26.8811789,88.8041201
14/06/2021 12:03:15,26.8811789,88.8041201
